Issue Type,Issue key,Issue id,Summary,Reporter,Reporter Id,Priority,Status,Created,Updated,Description,Environment,Project key,Project name,Project type,Project lead,Project lead id,Project description,Creator,Creator Id
Bug,T12CA-266,30220,"Notes API, Get the list of all Notes - Default limit 50 not working",Birgit Tikk,70121:251cca08-93e7-417a-82c2-0a142984426d,High,To Do,13/Sep/24 5:22 PM,17/Feb/25 7:33 AM,"The limit parameter’s *default* value 50 should work. At the moment it does not show 50 notes by default.

*Steps:*

# Send GET request to url: {{https://cerebrumhubcrmlite.bubbleapps.io/api/1.1/obj/note}}

*Expected result:*

(/) 50 notes are displayed in a list(“count“: 50).

*Actual result:*

(x) All the notes are displayed in a list(“count“: 100).","Postman version: 11.11.1

OS: Windows 11 Home 23H2 22631.4037",T12CA,T12. CRM APP,software,Cerebrum Hub,6202bc6d6ba61b006fb5463f,,Birgit Tikk,70121:251cca08-93e7-417a-82c2-0a142984426d
Bug,T12CA-265,30219,"Notes API, Get the list of all Notes - Cursor negative value wrong error",Birgit Tikk,70121:251cca08-93e7-417a-82c2-0a142984426d,Medium,To Do,13/Sep/24 5:14 PM,17/Feb/25 7:33 AM,"When cursor parameter is set to negative value -1, then the error message should state that the cursor cannot be a negative value.

*Steps:*

# Send GET request to url: {{https://cerebrumhubcrmlite.bubbleapps.io/api/1.1/obj/note?cursor=-1}}

*Expected result:*

(/) Cursor parameter with negative value -1 request shows an error stating that the cursor cannot be a negative value.

*Actual result:*

(x) Cursor parameter with negative value -1 request shows *500 Internal Server Error* as a result.

{noformat}{
    ""error_class"": ""UnexpectedError"",
    ""args"": {
        ""code"": ""1726235814203x311573438335203600""
    },
    ""message"": ""Sorry, we ran into a temporary bug and can't complete your request. We'll fix it as soon as we can; please try again in a bit!""
}{noformat}","Postman version: 11.11.1

OS: Windows 11 Home 23H2 22631.4037",T12CA,T12. CRM APP,software,Cerebrum Hub,6202bc6d6ba61b006fb5463f,,Birgit Tikk,70121:251cca08-93e7-417a-82c2-0a142984426d
Bug,T12CA-264,30218,"Deals API, Get the list of all Deals - Cursor negative value wrong error",Birgit Tikk,70121:251cca08-93e7-417a-82c2-0a142984426d,Medium,To Do,13/Sep/24 5:09 PM,17/Feb/25 8:03 AM,"When cursor parameter is set to negative value -1, then the error message should state that the cursor cannot be a negative value.

*Steps:*

# Send GET request to url: {{https://cerebrumhubcrmlite.bubbleapps.io/api/1.1/obj/deal?cursor=-1}}

*Expected result:*

(/) Cursor parameter with negative value -1 request shows an error stating that the cursor cannot be a negative value.

*Actual result:*

(x) Cursor parameter with negative value -1 request shows *500 Internal Server Error* as a result.

{noformat}{
    ""error_class"": ""UnexpectedError"",
    ""args"": {
        ""code"": ""1726235814203x311573438335203600""
    },
    ""message"": ""Sorry, we ran into a temporary bug and can't complete your request. We'll fix it as soon as we can; please try again in a bit!""
}{noformat}","Postman version: 11.11.1

OS: Windows 11 Home 23H2 22631.4037",T12CA,T12. CRM APP,software,Cerebrum Hub,6202bc6d6ba61b006fb5463f,,Birgit Tikk,70121:251cca08-93e7-417a-82c2-0a142984426d
Bug,T12CA-263,30217,"Funnels API, Get the list of all Funnels - Cursor negative value wrong error",Birgit Tikk,70121:251cca08-93e7-417a-82c2-0a142984426d,Medium,To Do,13/Sep/24 5:03 PM,17/Feb/25 8:22 AM,"When cursor parameter is set to negative value -5, then the error message should state that the cursor cannot be a negative value.

*Steps:*

# Send GET request to url: {{https://cerebrumhubcrmlite.bubbleapps.io/api/1.1/obj/funnel?cursor=-5}}

*Expected result:*

(/) Cursor parameter with negative value -5 request shows an error stating that the cursor cannot be a negative value.

*Actual result:*

(x) Cursor parameter with negative value -5 request shows *500 Internal Server Error* as a result.

{noformat}{
    ""error_class"": ""UnexpectedError"",
    ""args"": {
        ""code"": ""1726235814203x311573438335203600""
    },
    ""message"": ""Sorry, we ran into a temporary bug and can't complete your request. We'll fix it as soon as we can; please try again in a bit!""
}{noformat}","Postman version: 11.11.1

OS: Windows 11 Home 23H2 22631.4037",T12CA,T12. CRM APP,software,Cerebrum Hub,6202bc6d6ba61b006fb5463f,,Birgit Tikk,70121:251cca08-93e7-417a-82c2-0a142984426d
Bug,T12CA-261,30215,"Magicuser API, Get the list of all Magicusers - Cursor negative value wrong error",Birgit Tikk,70121:251cca08-93e7-417a-82c2-0a142984426d,Medium,To Do,13/Sep/24 4:57 PM,17/Feb/25 8:22 AM,"When cursor parameter is set to negative value -20, then the error message should state that the cursor cannot be a negative value.

*Steps:*

# Send GET request to url: {{https://cerebrumhubcrmlite.bubbleapps.io/api/1.1/obj/magicuser?cursor=-20}}

*Expected result:*

(/) Cursor parameter with negative value -20 request shows an error stating that the cursor cannot be a negative value.

*Actual result:*

(x) Cursor parameter with negative value -20 request shows *500 Internal Server Error* as a result.

{noformat}{
    ""error_class"": ""UnexpectedError"",
    ""args"": {
        ""code"": ""1726235814203x311573438335203600""
    },
    ""message"": ""Sorry, we ran into a temporary bug and can't complete your request. We'll fix it as soon as we can; please try again in a bit!""
}{noformat}","Postman version: 11.11.1

OS: Windows 11 Home 23H2 22631.4037",T12CA,T12. CRM APP,software,Cerebrum Hub,6202bc6d6ba61b006fb5463f,,Birgit Tikk,70121:251cca08-93e7-417a-82c2-0a142984426d
Bug,T12CA-256,30210,"Funnels API, Stages API - no validations in the documentation",Birgit Tikk,70121:251cca08-93e7-417a-82c2-0a142984426d,Critical,To Do,13/Sep/24 3:55 PM,17/Feb/25 7:33 AM,"There are no validations about mandatory fields for both Funnels and Stages API. Can’t test certain requests, as it is not clear which fields are mandatory and which are not.

*Steps :*

# Go to the following url: [https://cerebrumhubstudents.atlassian.net/wiki/spaces/T12CA/pages/919502979/Funnels+and+Stages+API|https://cerebrumhubstudents.atlassian.net/wiki/spaces/T12CA/pages/919502979/Funnels+and+Stages+API|smart-link] 
# Observe that there are no validations for mandatory fields for both Funnels and Stages API

*Expected result:*

(/) There are sections about validations of mandatory fields for both Funnels and Stages API in the documentation.

*Actual result:*

(x) There are no validations for mandatory fields for both Funnels and Stages API in the documentation.","Postman version: 11.11.1

OS: Windows 11 Home 23H2 22631.4037",T12CA,T12. CRM APP,software,Cerebrum Hub,6202bc6d6ba61b006fb5463f,,Birgit Tikk,70121:251cca08-93e7-417a-82c2-0a142984426d
Bug,T12CA-238,30186,"Leads API, Get Lead by ID - works with no authorization",Birgit Tikk,70121:251cca08-93e7-417a-82c2-0a142984426d,High,To Do,13/Sep/24 1:06 AM,17/Feb/25 8:03 AM,"Get Lead by ID - no authorization is required to request the lead by id.

*Precondition:* A lead with unique ID exists

*Steps:*

# Send GET request to url without entering the token: {{https://cerebrumhubcrmlite.bubbleapps.io/api/1.1/obj/lead/:UniqueID}}

*Expected result:*

(/) Error message 401 Unauthorized, no permission to get the lead by id without authorization.

*Actual result:*

(x) Lead’s data is displayed in response, no errors shown.","Postman version: 11.11.1

OS: Windows 11 Home 23H2 22631.4037",T12CA,T12. CRM APP,software,Cerebrum Hub,6202bc6d6ba61b006fb5463f,,Birgit Tikk,70121:251cca08-93e7-417a-82c2-0a142984426d
Bug,T12CA-214,30156,"Notes API, Modify Note data - possible to modify a note with empty body",Birgit Tikk,70121:251cca08-93e7-417a-82c2-0a142984426d,High,To Do,10/Sep/24 3:53 AM,17/Feb/25 7:33 AM,"It is possible to modify a note with empty body. Content_text field is mandatory and must have a string as data type.

*Precondition:* A note with unique ID exists

*Steps:*

# Send PATCH request to url: {{https://cerebrumhubcrmlite.bubbleapps.io/api/1.1/obj/note/:UniqueID}}

with any existing note’s ID in the params

{noformat}{
}{noformat}

*Expected result:*

(/) PATCH Modify Note data with an empty body does not work. Error message 400 is shown indicating missing required field.

*Actual result:*

(x) PATCH Modify Note data with an empty body works. No errors shown.","Postman version: 11.11.1

OS: Windows 11 Home 23H2 22631.4037",T12CA,T12. CRM APP,software,Cerebrum Hub,6202bc6d6ba61b006fb5463f,,Birgit Tikk,70121:251cca08-93e7-417a-82c2-0a142984426d
Bug,T12CA-213,30155,"Notes API, Modify Note data - possible to modify a note with an empty mandatory field",Birgit Tikk,70121:251cca08-93e7-417a-82c2-0a142984426d,High,To Do,10/Sep/24 3:48 AM,17/Feb/25 7:33 AM,"It is possible to modify a note with empty field(content_text). The field is mandatory and must have a string as data type.

*Precondition:* A note with unique ID exists

*Steps:*

# Send PATCH request to url: {{https://cerebrumhubcrmlite.bubbleapps.io/api/1.1/obj/note/:UniqueID}}

with any existing note’s ID in the params

{noformat}{
  ""content_text"": """"
}{noformat}

*Expected result:*

(/) PATCH Modify Note data with an empty mandatory field does not work. Error message 400 is shown indicating missing required field data input.

*Actual result:*

(x) PATCH Modify Note data with an empty mandatory field works. No errors shown.","Postman version: 11.11.1

OS: Windows 11 Home 23H2 22631.4037",T12CA,T12. CRM APP,software,Cerebrum Hub,6202bc6d6ba61b006fb5463f,,Birgit Tikk,70121:251cca08-93e7-417a-82c2-0a142984426d
Bug,T12CA-212,30154,"Notes API, Create new Note - possible to create a new note with empty body",Birgit Tikk,70121:251cca08-93e7-417a-82c2-0a142984426d,Critical,To Do,10/Sep/24 3:42 AM,17/Feb/25 7:33 AM,"It is possible to create new note with empty body. Content_text field is mandatory and must have a string as data type.

*Steps:*

# Send POST request to url: {{https://cerebrumhubcrmlite.bubbleapps.io/api/1.1/obj/note}}

{noformat}{
}{noformat}

*Expected result:*

(/) POST Create new Note with an empty body does not work. Error message 400 is shown indicating missing required field.

*Actual result:*

(x) POST Create new Note with an empty body works. No errors shown.","Postman version: 11.11.1

OS: Windows 11 Home 23H2 22631.4037",T12CA,T12. CRM APP,software,Cerebrum Hub,6202bc6d6ba61b006fb5463f,,Birgit Tikk,70121:251cca08-93e7-417a-82c2-0a142984426d
